refYear,partnerISO,partnerDesc,cmdCode,import_value_usd,quantity,net_weight_kg,unit_price_usd
2023,JPN,Japan,8704,998541280.0,23000.0,105985536.188,43414.83826086957
2023,KOR,Rep. of Korea,8703,31256082379.0,1265428.0,1765884625.242,24700.008518066614
2023,KOR,Rep. of Korea,8704,13409106.0,1110.0,1085514.188,12080.275675675675
2023,MEX,Mexico,8703,44964895428.0,1977160.0,2951257935.276,22742.16321794898
2023,MEX,Mexico,8704,32889196893.0,991965.0,2696532998.624,33155.60215632608
2023,NLD,Netherlands,8703,544471344.0,16965.0,35321140.155,32093.801591511936
2023,NLD,Netherlands,8704,1702850.0,7.0,191172.677,243264.2857142857
2024,BEL,Belgium,8703,1370718389.0,34246.0,81283875.343,40025.649389709746
2024,CAN,Canada,8703,28400124287.0,983607.0,1632485354.255,28873.446698732318
2024,CAN,Canada,8704,7183995383.0,168434.0,623617187.315,42651.69373760642
2024,CHN,China,8703,3820890620.0,576641.0,240927101.231,6626.116804042724
2024,CHN,China,8704,13063597.0,25991.0,1087455.052,502.62002231541686
2024,DEU,Germany,8703,25595823647.0,452895.0,1413247464.301,56516.021698186116
2024,DEU,Germany,8704,587536656.0,8190.0,59793129.84,71738.29743589743
2024,ESP,Spain,8703,103986263.0,5168.0,6344977.982,20121.18092105263
2024,ESP,Spain,8704,93775379.0,3620.0,7752080.117,25904.800828729283
2024,ITA,Italy,8703,3987468374.0,38544.0,147027637.87,103452.37583022001
2024,ITA,Italy,8704,7284106.0,248.0,769054.543,29371.395161290322
2024,JPN,Japan,8703,40765669517.0,1388330.0,2212677557.78,29363.097762779744
2024,JPN,Japan,8704,973182300.0,21396.0,105626064.058,45484.310151430174
2024,KOR,Rep. of Korea,8703,38020148676.0,1554318.0,2140853390.887,24460.98460932705
2024,KOR,Rep. of Korea,8704,19983579.0,1382.0,1689204.768,14459.897973950796
2024,MEX,Mexico,8703,49986957537.0,2125788.0,3144411291.138,23514.55438500923
2024,MEX,Mexico,8704,37248280109.0,1092973.0,3051523647.612,34079.7806615534
2024,NLD,Netherlands,8703,60260803.0,1853.0,3717498.877,32520.670804101457
2024,NLD,Netherlands,8704,290787.0,4.0,28517.706,72696.75
